file_id,file_name,local_file_name,local_path,size_bytes_local,modified_time_local,exif_datetime,width,height,drive_folder_id,drive_modifiedTime,drive_size,drive_mimeType
1lGwl1VoOQRHx0V7EVOa2oe8wV3aKBNpC,IMG_0014.JPG,1lGwl1VoOQRHx0V7EVOa2oe8wV3aKBNpC__IMG_0014.JPG,data/staging/1lGwl1VoOQRHx0V7EVOa2oe8wV3aKBNpC__IMG_0014.JPG,2464060,2026-01-17T00:10:49.680051,2025:10:09 14:10:40,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:10:40.000Z,2464060,image/jpeg
1oXrctqjLCZkz0sEnVJLL8nd6l43GW4Tj,IMG_0015.JPG,1oXrctqjLCZkz0sEnVJLL8nd6l43GW4Tj__IMG_0015.JPG,data/staging/1oXrctqjLCZkz0sEnVJLL8nd6l43GW4Tj__IMG_0015.JPG,2522609,2026-01-17T00:10:48.541642,2025:10:09 14:10:42,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:10:42.000Z,2522609,image/jpeg
1dKiISZttJU0IbofrpHWz1QKwmMtm2QAA,IMG_0017.JPG,1dKiISZttJU0IbofrpHWz1QKwmMtm2QAA__IMG_0017.JPG,data/staging/1dKiISZttJU0IbofrpHWz1QKwmMtm2QAA__IMG_0017.JPG,833905,2026-01-17T00:10:45.862518,2025:10:09 14:11:45,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:11:44.000Z,833905,image/jpeg
1xbeyIuytaudFrZatKG0t6heSDkLbTGEp,IMG_0018.JPG,1xbeyIuytaudFrZatKG0t6heSDkLbTGEp__IMG_0018.JPG,data/staging/1xbeyIuytaudFrZatKG0t6heSDkLbTGEp__IMG_0018.JPG,2232919,2026-01-17T00:10:44.968856,2025:10:09 14:11:47,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:11:46.000Z,2232919,image/jpeg
1wBr2m35GNDSpWd0X33zZIask5x3pb_X4,IMG_0019.JPG,1wBr2m35GNDSpWd0X33zZIask5x3pb_X4__IMG_0019.JPG,data/staging/1wBr2m35GNDSpWd0X33zZIask5x3pb_X4__IMG_0019.JPG,602595,2026-01-17T00:10:43.678840,2025:10:09 14:12:48,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:12:48.000Z,602595,image/jpeg
1NH8Turd8KArFm4rUPpG7Hcr1EFRWMJyz,IMG_0020.JPG,1NH8Turd8KArFm4rUPpG7Hcr1EFRWMJyz__IMG_0020.JPG,data/staging/1NH8Turd8KArFm4rUPpG7Hcr1EFRWMJyz__IMG_0020.JPG,753346,2026-01-17T00:10:41.920623,2025:10:09 14:12:50,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:12:50.000Z,753346,image/jpeg
15o-aMvcan_WGvZYvhOXlgomzFx8aAdXl,IMG_0021.JPG,15o-aMvcan_WGvZYvhOXlgomzFx8aAdXl__IMG_0021.JPG,data/staging/15o-aMvcan_WGvZYvhOXlgomzFx8aAdXl__IMG_0021.JPG,652754,2026-01-17T00:10:41.149701,2025:10:09 14:12:53,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:12:52.000Z,652754,image/jpeg
1MTGOgCsWfSYK-j3kVx0WB_BxTnd0h8P5,IMG_0022.JPG,1MTGOgCsWfSYK-j3kVx0WB_BxTnd0h8P5__IMG_0022.JPG,data/staging/1MTGOgCsWfSYK-j3kVx0WB_BxTnd0h8P5__IMG_0022.JPG,1813831,2026-01-17T00:10:39.768343,2025:10:09 14:13:53,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:13:54.000Z,1813831,image/jpeg
1DBKUNVSGOi_YURQge44DJBKRPKduvcdJ,IMG_0023.JPG,1DBKUNVSGOi_YURQge44DJBKRPKduvcdJ__IMG_0023.JPG,data/staging/1DBKUNVSGOi_YURQge44DJBKRPKduvcdJ__IMG_0023.JPG,2482577,2026-01-17T00:10:36.807094,2025:10:09 14:13:56,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:13:56.000Z,2482577,image/jpeg
1ZHPMYMuuIL9hjrgUSVXUCDlh4Q4Z3CnZ,IMG_0024.JPG,1ZHPMYMuuIL9hjrgUSVXUCDlh4Q4Z3CnZ__IMG_0024.JPG,data/staging/1ZHPMYMuuIL9hjrgUSVXUCDlh4Q4Z3CnZ__IMG_0024.JPG,2442821,2026-01-17T00:10:35.120852,2025:10:09 14:13:58,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:13:58.000Z,2442821,image/jpeg
